Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-01-02,2014,1,2,Thursday,39.630001068115234,38.65999984741211,38.720001220703125,4785200.0,32.56163024902344,0.0,32.56163024902344,32.56163024902344
2014-01-03,2014,1,3,Friday,39.75,38.72999954223633,39.52000045776367,4437000.0,33.2343864440918,0.020661010825418824,32.89800834655762,32.89800834655762
2014-01-06,2014,1,6,Monday,39.630001068115234,38.79999923706055,39.04999923706055,4514200.0,33.00617980957031,-0.006866581843037234,32.93406550089518,32.93406550089518
2014-01-07,2014,1,7,Tuesday,39.9900016784668,39.09000015258789,39.34000015258789,6683300.0,33.25128936767578,0.007426171690260164,33.01337146759033,33.01337146759033
2014-01-08,2014,1,8,Wednesday,39.33000183105469,38.619998931884766,39.20000076293945,6951600.0,33.13296127319336,-0.0035586016883137894,33.037289428710935,33.037289428710935
2014-01-09,2014,1,9,Thursday,39.470001220703125,38.619998931884766,39.41999816894531,6798000.0,33.318912506103516,0.005612273270020118,33.08422660827637,33.08422660827637
2014-01-10,2014,1,10,Friday,40.08000183105469,39.5099983215332,39.84000015258789,8552000.0,33.67390823364258,0.010654481219158463,33.16846684047154,33.16846684047154
2014-01-13,2014,1,13,Monday,39.61000061035156,38.130001068115234,38.25,7393400.0,32.32999801635742,-0.03990954088134313,33.063658237457275,33.063658237457275
2014-01-14,2014,1,14,Tuesday,38.619998931884766,37.650001525878906,37.66999816894531,9655700.0,31.839759826660156,-0.01516357005185176,32.927669525146484,32.927669525146484
2014-01-15,2014,1,15,Wednesday,38.0,37.36000061035156,37.52000045776367,7222600.0,31.712982177734375,-0.003981740114120669,32.80620079040527,32.80620079040527
2014-01-16,2014,1,16,Thursday,37.619998931884766,36.959999084472656,37.150001525878906,4990900.0,31.400245666503906,-0.009861466495889482,32.67838668823242,32.67838668823242
2014-01-17,2014,1,17,Friday,37.63999938964844,37.15999984741211,37.29999923706055,3717400.0,31.527023315429688,0.0040374731545818054,32.58243974049886,32.58243974049886
2014-01-21,2014,1,21,Tuesday,38.869998931884766,38.22999954223633,38.2599983215332,6650700.0,32.338443756103516,0.02573729947656389,32.5636708186223,32.5636708186223
2014-01-22,2014,1,22,Wednesday,38.790000915527344,38.029998779296875,38.66999816894531,5299500.0,32.68498611450195,0.010716111171337195,32.572336196899414,32.572336196899414
2014-01-23,2014,1,23,Thursday,38.9900016784668,37.720001220703125,37.779998779296875,5985100.0,31.9327392578125,-0.023015058169343683,32.52741541181292,32.52969640096028
2014-01-24,2014,1,24,Friday,37.900001525878906,37.060001373291016,37.209999084472656,5318900.0,31.45095443725586,-0.01508748800617754,32.400027411324636,32.46227502822876
2014-01-27,2014,1,27,Monday,37.459999084472656,36.79999923706055,37.0099983215332,6045100.0,31.28191375732422,-0.0053747392712317765,32.27686555044992,32.3928420122932
2014-01-28,2014,1,28,Tuesday,37.2400016784668,36.56999969482422,36.869998931884766,5870800.0,31.163578033447266,-0.0037828799348712527,32.12774331229074,32.32454956902398
2014-01-29,2014,1,29,Wednesday,37.18000030517578,36.65999984741211,36.790000915527344,5329000.0,31.095962524414062,-0.0021696965913423627,31.982243401663645,32.25988709299188
2014-01-30,2014,1,30,Thursday,38.209999084472656,36.90999984741211,38.040000915527344,9529100.0,32.15250015258789,0.033976681935615316,31.898928233555385,32.25451774597168
2014-01-31,2014,1,31,Friday,38.290000915527344,37.380001068115234,38.08000183105469,5880400.0,32.18631362915039,0.0010516593235994076,31.79267147609166,32.25126993088495
2014-02-03,2014,2,3,Monday,38.02000045776367,37.099998474121094,37.25,6719500.0,31.48476791381836,-0.021796398413786,31.732297897338867,32.216428930109196
2014-02-04,2014,2,4,Tuesday,38.959999084472656,37.790000915527344,37.84000015258789,6924500.0,31.98345947265625,0.015839137204470832,31.74256215776716,32.206299823263414
2014-02-05,2014,2,5,Wednesday,38.47999954223633,37.189998626708984,38.279998779296875,5777500.0,32.35535430908203,0.011627723909720444,31.78844588143485,32.212510426839195
2014-02-06,2014,2,6,Thursday,40.11000061035156,38.31999969482422,39.709999084472656,8035500.0,33.564029693603516,0.03735627102010164,31.943001883370535,32.26657119750976
2014-02-07,2014,2,7,Friday,43.2400016784668,41.84000015258789,42.0,11526700.0,35.49960708618164,0.057668206417628154,32.226757866995676,32.39091873168945
2014-02-10,2014,2,10,Monday,42.13999938964844,41.31999969482422,41.810001373291016,5715700.0,35.339027404785156,-0.0045234213721477845,32.44108527047293,32.50010794180411
2014-02-11,2014,2,11,Tuesday,42.91999816894531,41.540000915527344,42.54999923706055,6146200.0,35.9644775390625,0.017698566718127973,32.67533465794155,32.62383542742048
